year,rank,name,appid,month,avg_players,peak_players,status
2018,1,Bloons TD 6,960090,2018-12,465.62,688.0,ok
2018,2,The Forest,242760,2018-01,5406.31,11300.0,ok
2018,2,The Forest,242760,2018-02,5169.69,11253.0,ok
2018,2,The Forest,242760,2018-03,4018.4,7626.0,ok
2018,2,The Forest,242760,2018-04,3674.44,15745.0,ok
2018,2,The Forest,242760,2018-05,12305.05,25577.0,ok
2018,2,The Forest,242760,2018-06,9315.27,21553.0,ok
2018,2,The Forest,242760,2018-07,7682.54,17613.0,ok
2018,2,The Forest,242760,2018-08,4427.18,7873.0,ok
2018,2,The Forest,242760,2018-09,3834.9,7588.0,ok
2018,2,The Forest,242760,2018-10,3878.83,10482.0,ok
2018,2,The Forest,242760,2018-11,5071.4,13137.0,ok
2018,2,The Forest,242760,2018-12,8196.17,20925.0,ok
2018,3,Subnautica,264710,2018-01,10573.18,50876.0,ok
2018,3,Subnautica,264710,2018-02,17322.44,44646.0,ok
2018,3,Subnautica,264710,2018-03,7391.09,16615.0,ok
2018,3,Subnautica,264710,2018-04,4072.26,8572.0,ok
2018,3,Subnautica,264710,2018-05,2950.74,5296.0,ok
2018,3,Subnautica,264710,2018-06,4539.27,10093.0,ok
2018,3,Subnautica,264710,2018-07,3841.05,6579.0,ok
2018,3,Subnautica,264710,2018-08,2710.72,4445.0,ok
2018,3,Subnautica,264710,2018-09,2473.61,4646.0,ok
2018,3,Subnautica,264710,2018-10,2352.58,4461.0,ok
2018,3,Subnautica,264710,2018-11,2474.82,5664.0,ok
2018,3,Subnautica,264710,2018-12,3778.3,8980.0,ok
2018,4,RimWorld,294100,2018-01,7674.39,12072.0,ok
2018,4,RimWorld,294100,2018-02,6379.57,10030.0,ok
2018,4,RimWorld,294100,2018-03,6223.99,9644.0,ok
2018,4,RimWorld,294100,2018-04,6508.88,10001.0,ok
2018,4,RimWorld,294100,2018-05,6297.99,9555.0,ok
2018,4,RimWorld,294100,2018-06,6518.26,9500.0,ok
2018,4,RimWorld,294100,2018-07,7802.86,12450.0,ok
2018,4,RimWorld,294100,2018-08,7449.17,11169.0,ok
2018,4,RimWorld,294100,2018-09,9627.73,15159.0,ok
2018,4,RimWorld,294100,2018-10,13007.56,28380.0,ok
2018,4,RimWorld,294100,2018-11,13297.56,23774.0,ok
2018,4,RimWorld,294100,2018-12,10097.42,15760.0,ok
2018,5,Dead Cells,588650,2018-01,1803.03,3602.0,ok
2018,5,Dead Cells,588650,2018-02,941.41,1548.0,ok
2018,5,Dead Cells,588650,2018-03,1448.29,3516.0,ok
2018,5,Dead Cells,588650,2018-04,1090.05,1787.0,ok
2018,5,Dead Cells,588650,2018-05,1152.05,2200.0,ok
2018,5,Dead Cells,588650,2018-06,1768.17,4192.0,ok
2018,5,Dead Cells,588650,2018-07,1735.69,3625.0,ok
2018,5,Dead Cells,588650,2018-08,4437.74,10344.0,ok
2018,5,Dead Cells,588650,2018-09,2132.17,4601.0,ok
2018,5,Dead Cells,588650,2018-10,1548.68,3746.0,ok
2018,5,Dead Cells,588650,2018-11,1150.05,2136.0,ok
2018,5,Dead Cells,588650,2018-12,1797.62,4381.0,ok
2018,6,Celeste,504230,2018-01,127.62,1181.0,ok
2018,6,Celeste,504230,2018-02,490.47,1109.0,ok
2018,6,Celeste,504230,2018-03,326.7,597.0,ok
2018,6,Celeste,504230,2018-04,233.44,377.0,ok
2018,6,Celeste,504230,2018-05,172.21,283.0,ok
2018,6,Celeste,504230,2018-06,211.74,553.0,ok
2018,6,Celeste,504230,2018-07,365.54,683.0,ok
2018,6,Celeste,504230,2018-08,174.25,301.0,ok
2018,6,Celeste,504230,2018-09,132.52,229.0,ok
2018,6,Celeste,504230,2018-10,125.51,229.0,ok
2018,6,Celeste,504230,2018-11,183.62,466.0,ok
2018,6,Celeste,504230,2018-12,455.7,1078.0,ok
2018,7,Among Us,945360,2018-11,2.25,19.0,ok
2018,7,Among Us,945360,2018-12,2.57,17.0,ok
2018,8,GRIS,683320,2018-12,426.91,854.0,ok
2018,9,Kenshi,233860,2018-01,576.57,1257.0,ok
2018,9,Kenshi,233860,2018-02,614.45,1033.0,ok
2018,9,Kenshi,233860,2018-03,794.18,1182.0,ok
